department_id;municipality_id;name
Alta Verapaz;Cahabón;PROFESORA ANA MARIA REYES
Alta Verapaz;Cobán;ING. FABRICIO HIDALGO
Alta Verapaz;Lanquín;GILMA DOMINGA ASIG POP
Alta Verapaz;Panzós;PROF. JOSE ALFREDO MUCU
Alta Verapaz;San Cristóbal Verapaz;JUAN AUGUSTO CAL CAL
Alta Verapaz;Santa Catalina La Tinta;OSCAR GARCIA CHAMAN ex. Alc.
Alta Verapaz;Senahú;ARIEL CAAL
Alta Verapaz;Tamahú;HUGO GUZMAN
Alta Verapaz;Tucurú;HENRY ARTOLA
Baja Verapaz;El Chol;ANIBAL SARMIENTO
Baja Verapaz;Granados;FRANS CARDONA
Baja Verapaz;Rabinal;MANUEL APARICIO JERONIMO
Baja Verapaz;San Jerónimo;TIN CUELLAR-CARLOS E. SOLIS CONSEJ
Baja Verapaz;San Miguel Chicaj;EDGAR ADAN IXTECOC    ALC. ACT
Chimaltenango;Chimaltenango;AXEL SIMAJ ALC. ACT.
Chimaltenango;Comalapa;JUSTO RUFINO SIMILOX ALC.ACT. 
Chimaltenango;Pochuta;ALC. ACT.
Chimaltenango;Santa Apolonia;ALC. ACT.
Chimaltenango;Tecpán Guatemala;LOLO-CANDIDA CORADO
Chimaltenango;Yepocapa;ALC. ACT.
El Progreso;El Jícaro;MELVIN MAURICIO CARRANZA M.
El Progreso;Guastatoya;ARNOLDO SOTO CARANZA
El Progreso;Morazán;JOSE MANUEL BETANCURTH
El Progreso;San Agustín Acasaguastlán;MYNOR PERFECTO SANTOS
El Progreso;San Antonio La Paz;MYNOR MONZON
El Progreso;San Cristóbal Acasaguastlán;GIDO GODINEZ
El Progreso;Sansare;CARLOS AUGUSTO RODRIGUEZ RUANO
Escuintla;Guanagazapa;ASBIDIO TECUN FLORIAN
Escuintla;Palín;MARIO VITELIO YANTUCHI   ALC. ACT. 
Escuintla;San Vicente Pacaya;CARLOS GONZALEZ
Escuintla;Santa Lucía Cotzumalguapa;ROLANDO GUZMAN  ALC. ACT.
Guatemala;Santa Catarina Pinula;SEBASTIAN SIERRO
Guatemala;Villa Nueva;ESAU BURGOS
Huehuetenango;Aguacatán;PATRICIO MENDEZ
Huehuetenango;Santa Cruz Barillas;ALEJANDRO RUIZ CALDERON
Huehuetenango;Chiantla;FRANCISCO ROMAN JACINTO
Huehuetenango;Colotenango;LUIS VELASQUEZ
Huehuetenango;Concepción Huista;RAMON VARGAS
Huehuetenango;Cuilco;ORLANDO GALVEZ
Huehuetenango;Huehuetenango;RODERICO MARTINEZ
Huehuetenango;Ixtahuacán;DIEGO VELASQUEZ
Huehuetenango;Jacaltenango;CLAUDIO CAMPOSECO
Huehuetenango;La Democracia;FRANCISCO ISAI HIDALGO ARGUETA
Huehuetenango;La Libertad;LUCIO MORALES
Huehuetenango;Malacatancito;LEOPOLDO SAMAYOA RAMOS
Huehuetenango;Nentón;YEFRY DIAZ
Huehuetenango;San Antonio Huista;LUIS RICARDO GARCIA COTA
Huehuetenango;San Juan Ixcoy;JUAN GARCIA
Huehuetenango;San Mateo Ixtatán;FILIMON CARRILLO
Huehuetenango;San Miguel Acatán;BARTOLO MATIAS
Huehuetenango;San Pedro Necta;CARLOS GONZALES SANCHEZ
Huehuetenango;San Sebastián Coatán;JOSE MENDOZA
Huehuetenango;Santa Ana Huista;DIMAS MORALES
Huehuetenango;Santa Bárbara;ALFREDO SALES
Huehuetenango;Santa Eulalia;DIEGO MARCOS
Huehuetenango;Santiago Chimaltenango;MACARIO JIMENEZ
Huehuetenango;Todos Santos Cuchumatán;CRUZ JERONIMO RAMIREZ
Izabal;EL Estor;HUGO WOLER
Jalapa;Jalapa;NORMA HAYDE CRUZ RUEDAS
Jalapa;San Carlos Alzatate;SANTOS ARTURO NAJERA LIMA
Jutiapa;Jerez;MISAEL ASENCIO LOPEZ
Jutiapa;Quesada;OSCAR RONOBEL LOAYSA LOPEZ
Petén;Dolores;VITALINO DUARTE
Petén;El Chal;MARCOS FABIAN
Petén;Flores;ALEXIA DE MARIN
Petén;La Libertad;MYNOR SUAREZ
Petén;Las Cruces;RUBEN SOSA
Petén;Melchor De Mencos;MOISES REYNOSO
Petén;Poptún;JOSE ANTONIO CAC
Petén;San Benito;EFRAIN AGUILAR
Petén;San José;JUAN CANTE
Petén;San Luis;OMAR CAAL
Petén;Sayaxché;ERNESTO ROSADO
Quetzaltenango;Cajolá;MANUEL BAIR
