department_id;name
Alta Verapaz;BYRON MIGUEL OLIVA PEREIRA
Alta Verapaz;CARLOS OSWALDO LEAL MARTINEZ
Alta Verapaz;OSWALDO POP BAC
Alta Verapaz;RAMON BERNARDO CARCUZ CASTAÑEDA
Alta Verapaz;LANNY CAROLINA APARICIO
Alta Verapaz;DOUGLAS TERESO PELAEZ ORELLANA
Alta Verapaz;BYRON MIGUEL OLIVA SANDOVAL
Alta Verapaz;CARLOS ALBERTO ARRUE GUZMAN
Alta Verapaz;ROBERTO ARTURO ROSSI KUCKLING
Baja Verapaz;GERSON GEOVANNY REYES CHAJON
Baja Verapaz;LUIS ALFREDO GONZALEZ RAYMUNDO
Chimaltenango;ALBERTO HERNANDEZ XOYON
Chimaltenango;EMILIANO ARTURO GUZMAN SANDOVAL
Chimaltenango;ANGELICA DEL ROSARIO PATZAN QUISQUE
Chimaltenango;MARIA HERMINIA TOJ ATZ
Chimaltenango;YENY ROXANA SET IXLAY
El Progreso;EVELIN YESENA ESTRADA DE LA CRUZ
El Progreso;ELDIFONSO PAIZ BOLVITO
Escuintla;ALVARO ESTUARDO PAZOS ZACARIAS
Escuintla;CHI KIN CHANG SHUM
Escuintla;ELVIS YOEL GONZALEZ
Escuintla;HECTOR RODOLFO CHIC ROQUEL
Escuintla;ELDA MIRIAM MORALES LEMUZ
Escuintla;ASBIDIO TECUN LEMUS
Guatemala;LAZARO VINICIO ZAMORA
Guatemala;ALFREDO MONROY
Guatemala;JOSE CONREDO GARCIA
Guatemala;LIMDA PENA BARRILLAS
Guatemala;JOSE ALEJANDRO QUIJADA
Guatemala;DAVID MONROY
Guatemala;OLA ROSENDA RAMOS
Guatemala;MARGARITA SOLARES
Guatemala;HUGO BARRILLAS
Guatemala;ALEXANDER BLANCO
Guatemala;ROLANDO ORTIZ MACARIO
Guatemala;OMAR FERNANDO RUIZ
Guatemala;NERY ALBERTO NAJERA
Guatemala;MARIANO RAFAEL ARANA JUAREZ
Guatemala;LUIS ANTONIO MONTERROSO
Guatemala;DORA LUZ JUAREZ DE ARANA
Guatemala;GUSTAVO ADOLFO CASASOLA
Guatemala;JORGE RAFAEL SANTOS
Huehuetenango;OSCAR PLATERO
Huehuetenango;FROYLAN VILLATORRO
Huehuetenango;LUIS AMADO ESCOBAR RAMOS
Huehuetenango;OSCAR ALFREDO AGUIRRE VILLATORO
Huehuetenango;MARCO TULIO TOLEDO VILLATORO
Huehuetenango;ADALBERTO JACINTO GARCIA
Huehuetenango;LUIS FERNANDO TOLEDO MATIAS
Huehuetenango;ENIO JOSE ANTONIO PAR CHAVAJAY
Huehuetenango;MARIAN DEL ROSARIO GALINDO MARTINEZ
Huehuetenango;ANDRE VELASQUEZ RECINOS
Jalapa;EDGAR DONALDO LIMA LOPEZ
Jalapa;MARIO STANLEY MONZON HERRERA 
Jalapa;NUDVIA SIOMARA SOLARES MORALES
Petén;ADRIANA ELIZABETH GIRON ARANGO
Petén;SANDRA PATRICIA ROSADO DE SUAREZ
Petén;RAFAEL CARMENATE MEDINA
Petén;EDGAR XUC CHOC
Quetzaltenango;GIDDEL ELIEL ZASO PEREZ
Quetzaltenango;WILLIAM DE PALERMO
Quetzaltenango;LUIS DIEGO MONTENEGRO
Quetzaltenango;GYLMAR AMARILDO PEREZ CHILOJ
Quetzaltenango;PEDRO TISTOJ CHANG
Quetzaltenango;MILDRED ALEJANDRA SARTI PALACIOS
Quetzaltenango;CRISTHIAN ALEJANDRO SAZO SOLIS
Quiché;NOEL ARAMEO BARILLAS PELAEZ
Quiché;JUAN GUTIERREZ CHAJAL
Quiché;CHRISTIAN FRANCISCO FLORES GARCIA
Quiché;CARLOS GIOVANNI GONZALEZ CHIGUIL
Quiché;CESAR AUGUSTO POZUELOS HERNANDEZ
Quiché;OTTO JUAN PEREZ NORIEGA
Quiché;DORA ELIZABETH TUN ROMPICH
Sacatepéquez;EDDY GEOVANNI PANIAGUA PEREZ
Sacatepéquez;HECTOR ALEJANDRO ARRIOLA LOPEZ
Sacatepéquez;ANTONIA JUANA DE JESUS VASQUEZ QUIÑONEZ
San Marcos;JEOVANI MIRANDA
San Marcos;EDGARDO OROZCO FUENTES
San Marcos;AZUCENA FABIOLA SOTO
San Marcos;FRANCISCO PEREZ CORONADO
San Marcos;SONIA ELVIRA DE LEON MENDEZ
San Marcos;JOSE HUMBERTO BONILLA
San Marcos;KEVIN ELI DIAZ ORTIZ
San Marcos;VINICIO ROCAEL MIRANDA VASQUEZ
San Marcos;NEPTALI ADOLFO DE LEON MENDEZ
Sololá;VALESKA LEONOR CASTELLANOS JUAREZ
Sololá;LUIS PEREZ PEREZ
Sololá;LUIS RODRIGO XINIC CORTEZ
Suchitepéquez;ADOLFO ARMANDO VILLAGRAN RIVERA
Suchitepéquez;SORAYDA MIJANGOS DE GONZALES
Suchitepéquez;MARIO IVAN ALVAREZ RIVERA
Suchitepéquez;ALMA VERONICA CORONADO
Totonicapán;ROSWALD ROBLES GRAMAJO
Totonicapán;GIOVANNI FRANCISCO GALICIA O.
Totonicapán;ROWLAND HERMAN LANG GONZALEZ
Totonicapán;DIANA LOURDES LOPEZ CHACON
